timestamp_ist,location_district,latitude,longitude,elevation_m,temperature_2m_degC,relative_humidity_2m_pct,dew_point_2m_degC,precipitation_mm,wind_speed_10m_kmh,solar_radiation_Wm2,soil_moisture_0_to_7cm_m3m3,leaf_wetness_status,soil_ph_status,data_provenance
2021-01-01T00:00,Coimbatore,11.0168,76.9558,431.0,21.2,95,20.4,0.1,13.0,0.0,0.365,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T01:00,Coimbatore,11.0168,76.9558,431.0,21.2,95,20.4,0.0,14.3,0.0,0.361,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T02:00,Coimbatore,11.0168,76.9558,431.0,21.2,95,20.3,0.0,13.5,0.0,0.357,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T03:00,Coimbatore,11.0168,76.9558,431.0,20.9,95,20.2,0.0,11.7,0.0,0.354,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T04:00,Coimbatore,11.0168,76.9558,431.0,20.7,96,20.1,0.1,11.2,0.0,0.351,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T05:00,Coimbatore,11.0168,76.9558,431.0,20.6,97,20.0,0.1,11.0,0.0,0.367,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T06:00,Coimbatore,11.0168,76.9558,431.0,20.6,96,20.0,0.2,11.2,0.0,0.366,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T07:00,Coimbatore,11.0168,76.9558,431.0,20.8,95,19.9,0.2,12.2,27.0,0.366,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T08:00,Coimbatore,11.0168,76.9558,431.0,21.4,89,19.5,0.1,15.0,136.0,0.363,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T09:00,Coimbatore,11.0168,76.9558,431.0,22.2,83,19.1,0.1,16.3,264.0,0.361,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T10:00,Coimbatore,11.0168,76.9558,431.0,23.6,74,18.6,0.0,16.8,408.0,0.358,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T11:00,Coimbatore,11.0168,76.9558,431.0,25.1,66,18.2,0.0,17.1,637.0,0.354,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T12:00,Coimbatore,11.0168,76.9558,431.0,25.7,62,17.8,0.0,16.7,629.0,0.35,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T13:00,Coimbatore,11.0168,76.9558,431.0,26.5,57,17.3,0.0,16.8,694.0,0.345,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T14:00,Coimbatore,11.0168,76.9558,431.0,26.6,55,16.8,0.0,16.1,614.0,0.341,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
2021-01-01T15:00,Coimbatore,11.0168,76.9558,431.0,26.3,54,16.4,0.0,16.3,474.0,0.338,UNAVAILABLE_IN_MET_REANALYSIS,UNAVAILABLE_IN_MET_REANALYSIS,ECMWF_ERA5_REANALYSIS_OPEN_METEO
