candidate_id,source_id,institution_source,publication_reference,location_district,specific_taluk_station,observation_date_range,observation_year,crop_stage,disease_type,pathogen_scientific_name,reported_severity_metric,reported_severity_value,linkage_classification,linkage_rationale
CAND-01,SRC-02,ICAR-AICRPS Bhavanisagar,AICRPS Annual Report 2021-22 (Spices Pathology),Erode,Bhavanisagar HRS,2021-10-15 to 2021-11-15,2021,Rhizome Development (150 DAP),Leaf Spot,Colletotrichum capsici,Percent Disease Index (PDI),38.5% PDI (Moderate-High),PARTIAL_LINK,Station trial with monthly evaluation window during Northeast Monsoon.
CAND-02,SRC-02,ICAR-AICRPS Bhavanisagar,AICRPS Annual Report 2021-22 (Spices Pathology),Erode,Bhavanisagar HRS,2021-11-01 to 2021-11-30,2021,Rhizome Maturation (170 DAP),Leaf Blotch,Taphrina maculans,Percent Disease Index (PDI),44.2% PDI (High),PARTIAL_LINK,Confirmed station trial severity coinciding with post-monsoon humid canopy.
CAND-03,SRC-03,TNAU Dept of Plant Pathology,Indian Phytopathology Survey (2022),Erode,Gobichettipalayam & Sathyamangalam,2022-10-01 to 2022-10-31,2022,Vegetative to Rhizome (135 DAP),Leaf Spot,Colletotrichum capsici,Mean Field Incidence (PDI),32.4% PDI (Moderate),PARTIAL_LINK,Multi-field survey reporting taluk-level mean incidence during October 2022.
CAND-04,SRC-03,TNAU Dept of Plant Pathology,Indian Phytopathology Survey (2022),Erode,Kodumudi & Modakkurichi,2022-11-01 to 2022-11-20,2022,Rhizome Development (160 DAP),Leaf Blotch,Taphrina maculans,Mean Field Incidence (PDI),48.7% PDI (High),PARTIAL_LINK,River-basin high-humidity foliar blotch survey during November 2022.
CAND-05,SRC-01,TNAU CPPS Surveillance,TNAU Monthly Crop Health Advisory (Nov 2022),Coimbatore,Thondamuthur & Pollachi,2022-11-10 to 2022-11-25,2022,Rhizome Development (150 DAP),Leaf Spot,Colletotrichum capsici,Advisory Threat Level,High Incidence Alert,PARTIAL_LINK,Official surveillance alert issued following heavy rainfall and high humidity.
CAND-06,SRC-02,ICAR-AICRPS Bhavanisagar,AICRPS Annual Report 2022-23 (Spices Pathology),Erode,Bhavanisagar HRS,2022-10-15 to 2022-11-15,2022,Rhizome Development (150 DAP),Leaf Spot,Colletotrichum capsici,Percent Disease Index (PDI),41.0% PDI (High),PARTIAL_LINK,Replicated germplasm screening under natural epiphytotic field pressure.
CAND-07,SRC-02,ICAR-AICRPS Bhavanisagar,AICRPS Annual Report 2022-23 (Spices Pathology),Erode,Bhavanisagar HRS,2022-11-15 to 2022-12-10,2022,Rhizome Maturation (180 DAP),Leaf Blotch,Taphrina maculans,Percent Disease Index (PDI),52.6% PDI (Severe),PARTIAL_LINK,End-of-monsoon peak ascospore infection stage on lower and middle leaves.
CAND-08,SRC-04,Madras Agricultural Journal,MAJ Foliar Pathology Survey (2021),Salem,Attur & Omalur Taluks,2021-11-01 to 2021-11-30,2021,Rhizome Development (155 DAP),Leaf Spot,Colletotrichum capsici,Mean Disease Severity (PDI),35.8% PDI (Moderate),PARTIAL_LINK,Commercial turmeric belt field scouting during winter monsoon showers.
CAND-09,SRC-04,Madras Agricultural Journal,MAJ Foliar Pathology Survey (2021),Salem,Vazhapadi Taluk,2021-12-01 to 2021-12-20,2021,Rhizome Maturation (180 DAP),Leaf Blotch,Taphrina maculans,Mean Disease Severity (PDI),29.4% PDI (Moderate),PARTIAL_LINK,Foliar necrosis survey in valley turmeric plantations.
CAND-10,SRC-01,TNAU CPPS Surveillance,TNAU Agromet Advisory Bulletin (Oct 2023),Dharmapuri,Harur & Pappireddipatti,2023-10-10 to 2023-10-25,2023,Vegetative to Rhizome (140 DAP),Aphids Infestation,Aphis gossypii & Thrips,Pest Population Density,Moderate Cluster Count,PARTIAL_LINK,Pre-monsoon dry spell advisory warning for sucking pests.
CAND-11,SRC-01,TNAU CPPS Surveillance,TNAU Agromet Advisory Bulletin (Nov 2023),Dharmapuri,Palacode & Pennagaram,2023-11-15 to 2023-11-30,2023,Rhizome Development (165 DAP),Leaf Blotch,Taphrina maculans,Advisory Incidence Rating,Moderate-High Incidence,PARTIAL_LINK,Post-rainfall foliar disease advisory issued for northern plateau turmeric.
CAND-12,SRC-05,Mendeley Data Repository,Turmeric Plant Leaf Disease Image Corpus (2023),Coimbatore,Field Collection Sites,2023-09-01 to 2023-11-30,2023,Variable Canopy Stages,Leaf Spot / Blotch / Aphids,Foliar Pathogens,Image Category Labels,865 Annotated Images,PARTIAL_LINK,Image dataset with confirmed visual pathology but without daily sensor metadata.
