record_id,source_id,location_district,disease_type,metric_type,reported_severity_value,crop_growth_stage,exposure_window_start,exposure_window_end,total_exposure_hours,cumulative_rainfall_14d_mm,rainfall_days_14d_count,temp_mean_degC,temp_min_degC,temp_max_degC,hours_temp_favorable_22_32C,pct_hours_temp_favorable,rh_mean_pct,hours_rh_ge_80pct,pct_hours_rh_ge_80pct,hours_rh_ge_90pct,hours_dew_condensation_proxy,pct_hours_dew_condensation,wind_speed_mean_kmh,wind_speed_max_kmh,solar_rad_mean_Wm2,solar_rad_max_Wm2,overcast_daylight_hours,soil_moisture_0_7cm_mean_m3m3,soil_moisture_0_7cm_max_m3m3,linkage_quality
V-DIS-01,SRC-02,Erode,Leaf Spot,QUANTITATIVE_PDI,38.5% PDI (Moderate-High),Rhizome Development (150 DAP),2021-10-01 00:00:00,2021-10-14 23:00:00,336,142.4,14,26.67,22.8,33.7,326,97.0,80.8,190,56.5,122,108,32.1,6.6,15.6,193.3,882.0,64,0.3466,0.43,PARTIALLY_SUPPORTED_14D_ANTECEDENT
V-DIS-02,SRC-02,Erode,Leaf Blotch,QUANTITATIVE_PDI,44.2% PDI (High),Rhizome Maturation (170 DAP),2021-10-18 00:00:00,2021-10-31 23:00:00,336,163.6,14,26.03,21.7,31.9,333,99.1,81.8,201,59.8,135,116,34.5,5.45,16.0,197.4,902.0,59,0.369,0.43,PARTIALLY_SUPPORTED_14D_ANTECEDENT
V-DIS-03,SRC-03,Erode,Leaf Spot,QUANTITATIVE_PDI,32.4% PDI (Moderate),Vegetative to Rhizome (135 DAP),2022-09-17 00:00:00,2022-09-30 23:00:00,336,12.2,7,28.84,22.4,37.4,240,71.4,62.6,91,27.1,6,3,0.9,9.04,21.9,253.1,989.0,46,0.1687,0.278,PARTIALLY_SUPPORTED_14D_ANTECEDENT
V-DIS-04,SRC-03,Erode,Leaf Blotch,QUANTITATIVE_PDI,48.7% PDI (High),Rhizome Development (160 DAP),2022-10-18 00:00:00,2022-10-31 23:00:00,336,105.8,8,25.71,19.7,32.2,310,92.3,76.5,166,49.4,108,95,28.3,6.05,20.5,229.6,942.0,56,0.3243,0.43,PARTIALLY_SUPPORTED_14D_ANTECEDENT
V-DIS-05,SRC-01,Coimbatore,Leaf Spot,QUALITATIVE_ADVISORY_ALERT,High Incidence Alert,Rhizome Development (150 DAP),2022-10-27 00:00:00,2022-11-09 23:00:00,336,83.7,12,24.6,19.8,30.5,272,81.0,76.5,162,48.2,102,75,22.3,8.98,21.3,217.6,908.0,56,0.3039,0.43,PARTIALLY_SUPPORTED_14D_ANTECEDENT
V-DIS-06,SRC-02,Erode,Leaf Spot,QUANTITATIVE_PDI,41.0% PDI (High),Rhizome Development (150 DAP),2022-10-01 00:00:00,2022-10-14 23:00:00,336,121.7,12,27.01,22.1,36.1,297,88.4,73.9,163,48.5,90,71,21.1,6.84,18.7,211.2,909.0,59,0.2684,0.425,PARTIALLY_SUPPORTED_14D_ANTECEDENT
V-DIS-07,SRC-02,Erode,Leaf Blotch,QUANTITATIVE_PDI,52.6% PDI (Severe),Rhizome Maturation (180 DAP),2022-11-01 00:00:00,2022-11-14 23:00:00,336,98.8,13,24.91,21.0,31.1,315,93.8,82.1,208,61.9,136,119,35.4,7.21,15.4,178.0,846.0,68,0.3307,0.43,PARTIALLY_SUPPORTED_14D_ANTECEDENT
V-DIS-08,SRC-04,Salem,Leaf Spot,QUANTITATIVE_PDI,35.8% PDI (Moderate),Rhizome Development (155 DAP),2021-10-18 00:00:00,2021-10-31 23:00:00,336,73.1,14,25.76,21.7,31.7,331,98.5,81.0,198,58.9,114,100,29.8,5.03,16.4,197.6,880.0,56,0.3476,0.425,PARTIALLY_SUPPORTED_14D_ANTECEDENT
V-DIS-09,SRC-04,Salem,Leaf Blotch,QUANTITATIVE_PDI,29.4% PDI (Moderate),Rhizome Maturation (180 DAP),2021-11-17 00:00:00,2021-11-30 23:00:00,336,139.6,12,24.39,21.2,30.4,313,93.2,86.7,256,76.2,179,164,48.8,5.37,17.5,144.7,765.0,73,0.3831,0.43,PARTIALLY_SUPPORTED_14D_ANTECEDENT
V-DIS-10,SRC-01,Dharmapuri,Aphids & Thrips Infestation,QUALITATIVE_ADVISORY_ALERT,Moderate Pest Warning,Vegetative to Rhizome (140 DAP),2023-09-26 00:00:00,2023-10-09 23:00:00,336,62.5,13,26.41,21.7,33.7,302,89.9,72.7,145,43.2,53,43,12.8,9.01,18.2,246.6,961.0,48,0.2762,0.42,PARTIALLY_SUPPORTED_14D_ANTECEDENT
V-DIS-11,SRC-01,Dharmapuri,Leaf Blotch,QUALITATIVE_ADVISORY_ALERT,Moderate-High Disease Forewarning,Rhizome Development (165 DAP),2023-11-01 00:00:00,2023-11-14 23:00:00,336,82.9,11,24.12,17.8,31.1,243,72.3,81.4,199,59.2,139,129,38.4,8.4,18.0,187.1,865.0,61,0.3116,0.423,PARTIALLY_SUPPORTED_14D_ANTECEDENT
V-DIS-12,SRC-05,Coimbatore,Leaf Spot / Blotch / Aphids,IMAGE_GROUND_TRUTH_LABEL,865 Categorized Field Photos,Multiple Canopy Stages,2023-10-01 00:00:00,2023-10-14 23:00:00,336,45.1,10,26.15,20.2,33.6,295,87.8,77.2,179,53.3,130,116,34.5,10.01,28.0,250.7,984.0,48,0.2319,0.408,PARTIALLY_SUPPORTED_14D_ANTECEDENT
