# SOURCE: Open-Meteo ERA5 Reanalysis
"# LOCATION: Dharmapuri, Tamil Nadu (Target: 12.1211N, 78.1582E)"
# PERIOD: 2021-01-01 to 2023-12-31 IST
timestamp_ist,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,wind_speed_10m,shortwave_radiation,soil_moisture_0_to_7cm
2021-01-01T00:00,19.6,96,18.9,0.0,10.1,0.0,0.344
2021-01-01T01:00,19.2,98,18.9,0.0,8.0,0.0,0.341
2021-01-01T02:00,18.8,99,18.7,0.0,5.6,0.0,0.339
2021-01-01T03:00,18.8,100,18.8,0.0,6.3,0.0,0.337
2021-01-01T04:00,18.6,100,18.6,0.0,6.9,0.0,0.335
2021-01-01T05:00,19.3,97,18.8,0.0,7.6,0.0,0.332
2021-01-01T06:00,18.9,99,18.7,0.0,5.5,0.0,0.33
2021-01-01T07:00,19.6,94,18.6,0.0,9.4,33.0,0.329
2021-01-01T08:00,21.0,84,18.1,0.0,12.3,195.0,0.327
2021-01-01T09:00,22.2,74,17.4,0.0,13.4,366.0,0.325
2021-01-01T10:00,23.3,65,16.4,0.0,14.7,511.0,0.323
2021-01-01T11:00,24.3,59,15.8,0.0,14.0,561.0,0.32
2021-01-01T12:00,24.7,56,15.3,0.0,13.2,486.0,0.317
2021-01-01T13:00,24.9,56,15.6,0.0,13.0,417.0,0.314
2021-01-01T14:00,25.0,59,16.4,0.0,13.4,440.0,0.311
2021-01-01T15:00,24.4,64,17.2,0.1,13.4,360.0,0.31
2021-01-01T16:00,24.3,64,16.9,0.0,12.9,208.0,0.308
2021-01-01T17:00,22.7,77,18.5,0.1,10.9,107.0,0.308
2021-01-01T18:00,21.6,83,18.6,0.0,8.4,10.0,0.307
2021-01-01T19:00,21.1,86,18.6,0.0,8.6,0.0,0.306
2021-01-01T20:00,21.1,81,17.8,0.0,10.5,0.0,0.305
2021-01-01T21:00,20.3,84,17.6,0.0,10.5,0.0,0.304
2021-01-01T22:00,19.3,89,17.5,0.0,9.0,0.0,0.304
2021-01-01T23:00,18.8,92,17.5,0.0,8.4,0.0,0.303
2021-01-02T00:00,18.5,94,17.5,0.0,7.1,0.0,0.302
2021-01-02T01:00,17.8,97,17.3,0.0,6.3,0.0,0.302
2021-01-02T02:00,17.5,97,17.0,0.0,7.9,0.0,0.301
2021-01-02T03:00,17.5,96,16.9,0.0,8.6,0.0,0.3
2021-01-02T04:00,17.2,97,16.7,0.0,7.7,0.0,0.3
2021-01-02T05:00,16.9,98,16.7,0.0,7.2,0.0,0.301
2021-01-02T06:00,17.3,96,16.7,0.0,6.9,0.0,0.3
2021-01-02T07:00,18.1,91,16.7,0.0,8.0,39.0,0.299
2021-01-02T08:00,20.1,82,17.0,0.0,9.0,213.0,0.298
2021-01-02T09:00,22.6,72,17.2,0.0,13.6,419.0,0.297
2021-01-02T10:00,24.1,68,17.7,0.0,14.3,527.0,0.295
2021-01-02T11:00,24.4,67,18.0,0.0,13.7,412.0,0.293
2021-01-02T12:00,24.8,67,18.3,0.0,15.6,355.0,0.292
2021-01-02T13:00,25.2,67,18.7,0.0,16.9,355.0,0.29
2021-01-02T14:00,25.2,68,18.8,0.2,18.4,430.0,0.29
2021-01-02T15:00,24.4,73,19.3,0.2,18.8,340.0,0.29
2021-01-02T16:00,23.5,79,19.6,0.1,16.8,290.0,0.289
2021-01-02T17:00,23.1,79,19.2,0.1,14.7,130.0,0.289
2021-01-02T18:00,22.0,86,19.5,0.0,9.3,11.0,0.288
2021-01-02T19:00,21.5,91,19.9,0.1,7.6,0.0,0.289
2021-01-02T20:00,21.3,92,20.0,0.3,8.0,0.0,0.291
2021-01-02T21:00,20.9,95,20.0,0.4,9.7,0.0,0.293
2021-01-02T22:00,20.7,95,19.9,0.2,8.8,0.0,0.294
2021-01-02T23:00,20.5,96,19.9,0.1,7.5,0.0,0.294
2021-01-03T00:00,20.2,97,19.7,0.1,8.2,0.0,0.295
2021-01-03T01:00,20.1,97,19.6,0.0,8.7,0.0,0.294
2021-01-03T02:00,20.0,97,19.5,0.0,8.0,0.0,0.294
