# SOURCE: Open-Meteo ERA5 Reanalysis
"# LOCATION: Erode, Tamil Nadu (Target: 11.341N, 77.7172E)"
# PERIOD: 2021-01-01 to 2023-12-31 IST
timestamp_ist,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,wind_speed_10m,shortwave_radiation,soil_moisture_0_to_7cm
2021-01-01T00:00,21.2,96,20.6,0.0,6.1,0.0,0.329
2021-01-01T01:00,21.3,93,20.2,0.0,6.7,0.0,0.327
2021-01-01T02:00,20.9,95,20.0,0.0,6.5,0.0,0.325
2021-01-01T03:00,19.9,97,19.5,0.0,6.2,0.0,0.323
2021-01-01T04:00,19.5,98,19.3,0.0,7.0,0.0,0.321
2021-01-01T05:00,20.5,98,20.1,0.0,4.9,0.0,0.317
2021-01-01T06:00,19.7,98,19.4,0.0,5.8,0.0,0.316
2021-01-01T07:00,21.1,93,20.0,0.0,5.8,39.0,0.314
2021-01-01T08:00,22.8,83,19.8,0.0,6.7,225.0,0.312
2021-01-01T09:00,24.8,71,19.2,0.0,8.8,451.0,0.31
2021-01-01T10:00,26.1,64,18.6,0.0,9.4,543.0,0.306
2021-01-01T11:00,27.3,57,17.9,0.0,11.1,683.0,0.302
2021-01-01T12:00,28.2,51,17.0,0.0,11.5,688.0,0.298
2021-01-01T13:00,29.2,45,16.0,0.0,11.4,746.0,0.293
2021-01-01T14:00,29.7,42,15.3,0.0,11.7,636.0,0.289
2021-01-01T15:00,30.0,37,13.8,0.0,9.0,564.0,0.285
2021-01-01T16:00,28.6,49,16.8,0.0,16.2,287.0,0.282
2021-01-01T17:00,26.6,60,18.1,0.0,9.7,151.0,0.281
2021-01-01T18:00,25.0,67,18.3,0.0,9.7,14.0,0.28
2021-01-01T19:00,24.1,73,19.0,0.0,6.1,0.0,0.279
2021-01-01T20:00,23.6,78,19.6,0.0,4.5,0.0,0.279
2021-01-01T21:00,22.5,84,19.6,0.0,6.1,0.0,0.278
2021-01-01T22:00,22.6,81,19.1,0.0,5.2,0.0,0.277
2021-01-01T23:00,21.5,86,19.1,0.0,6.2,0.0,0.277
2021-01-02T00:00,21.0,88,19.0,0.0,5.1,0.0,0.276
2021-01-02T01:00,19.7,95,18.9,0.0,6.7,0.0,0.276
2021-01-02T02:00,19.2,96,18.6,0.0,5.8,0.0,0.275
2021-01-02T03:00,18.8,97,18.3,0.0,6.5,0.0,0.275
2021-01-02T04:00,18.7,95,18.0,0.0,6.6,0.0,0.274
2021-01-02T05:00,19.0,94,18.0,0.0,5.9,0.0,0.272
2021-01-02T06:00,19.9,90,18.3,0.0,7.6,0.0,0.271
2021-01-02T07:00,21.1,85,18.4,0.0,9.4,42.0,0.271
2021-01-02T08:00,22.9,75,18.2,0.0,10.8,232.0,0.27
2021-01-02T09:00,24.8,66,17.9,0.0,9.3,449.0,0.268
2021-01-02T10:00,26.9,58,18.0,0.0,10.5,625.0,0.265
2021-01-02T11:00,28.1,54,17.9,0.0,11.6,671.0,0.262
2021-01-02T12:00,28.0,56,18.3,0.0,10.6,392.0,0.26
2021-01-02T13:00,28.5,56,18.9,0.0,12.4,432.0,0.258
2021-01-02T14:00,29.2,54,18.9,0.0,13.2,430.0,0.255
2021-01-02T15:00,29.1,54,18.9,0.1,13.7,415.0,0.254
2021-01-02T16:00,28.3,58,19.2,0.1,12.8,281.0,0.253
2021-01-02T17:00,26.5,68,20.2,0.1,8.6,134.0,0.255
2021-01-02T18:00,25.5,72,20.1,0.2,9.1,16.0,0.256
2021-01-02T19:00,24.9,75,20.2,0.1,8.6,0.0,0.256
2021-01-02T20:00,24.3,79,20.4,0.1,7.8,0.0,0.257
