# SOURCE: Open-Meteo ERA5 Reanalysis
"# LOCATION: Salem, Tamil Nadu (Target: 11.6643N, 78.146E)"
# PERIOD: 2021-01-01 to 2023-12-31 IST
timestamp_ist,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,wind_speed_10m,shortwave_radiation,soil_moisture_0_to_7cm
2021-01-01T00:00,19.8,98,19.4,0.0,5.4,0.0,0.262
2021-01-01T01:00,19.8,98,19.5,0.0,4.8,0.0,0.262
2021-01-01T02:00,20.3,98,20.0,0.0,3.1,0.0,0.261
2021-01-01T03:00,20.0,100,20.0,0.0,1.8,0.0,0.261
2021-01-01T04:00,19.8,100,19.8,0.0,2.6,0.0,0.261
2021-01-01T05:00,19.8,100,19.7,0.0,2.2,0.0,0.26
2021-01-01T06:00,19.8,99,19.7,0.0,1.8,0.0,0.26
2021-01-01T07:00,20.2,97,19.7,0.0,1.8,42.0,0.26
2021-01-01T08:00,22.0,87,19.8,0.0,1.1,230.0,0.259
2021-01-01T09:00,24.0,73,18.8,0.0,2.6,447.0,0.258
2021-01-01T10:00,26.0,60,17.6,0.0,5.0,603.0,0.256
2021-01-01T11:00,27.3,52,16.5,0.0,6.9,662.0,0.253
2021-01-01T12:00,28.4,46,15.7,0.0,7.0,762.0,0.251
2021-01-01T13:00,29.7,40,14.6,0.0,9.4,727.0,0.248
2021-01-01T14:00,28.8,47,16.5,0.0,14.7,614.0,0.245
2021-01-01T15:00,28.3,49,16.5,0.0,12.3,404.0,0.243
2021-01-01T16:00,27.2,54,16.9,0.0,11.4,214.0,0.242
2021-01-01T17:00,26.0,63,18.3,0.0,8.2,113.0,0.242
2021-01-01T18:00,24.5,71,18.9,0.0,7.9,11.0,0.241
2021-01-01T19:00,23.6,76,19.0,0.0,7.8,0.0,0.241
2021-01-01T20:00,22.2,83,19.1,0.0,5.8,0.0,0.241
2021-01-01T21:00,21.1,89,19.1,0.0,4.4,0.0,0.241
2021-01-01T22:00,19.9,93,18.8,0.0,4.7,0.0,0.241
2021-01-01T23:00,19.3,94,18.2,0.0,4.2,0.0,0.24
2021-01-02T00:00,19.7,93,18.5,0.0,1.4,0.0,0.24
2021-01-02T01:00,17.8,98,17.5,0.0,2.8,0.0,0.24
2021-01-02T02:00,17.6,98,17.2,0.0,3.1,0.0,0.24
2021-01-02T03:00,17.7,97,17.2,0.0,2.3,0.0,0.24
2021-01-02T04:00,17.6,97,17.1,0.0,1.3,0.0,0.239
2021-01-02T05:00,17.1,97,16.7,0.0,2.3,0.0,0.238
2021-01-02T06:00,17.7,96,17.1,0.0,1.6,0.0,0.238
2021-01-02T07:00,19.3,88,17.2,0.0,1.8,44.0,0.238
2021-01-02T08:00,21.7,78,17.6,0.0,4.2,234.0,0.237
2021-01-02T09:00,23.9,69,17.9,0.0,3.5,444.0,0.236
2021-01-02T10:00,26.9,59,18.1,0.0,6.6,597.0,0.234
2021-01-02T11:00,27.9,56,18.2,0.0,11.7,465.0,0.232
2021-01-02T12:00,27.8,59,18.9,0.0,11.5,372.0,0.231
2021-01-02T13:00,28.2,57,18.8,0.3,11.6,522.0,0.232
2021-01-02T14:00,28.5,56,18.9,0.5,10.4,535.0,0.234
2021-01-02T15:00,28.8,54,18.6,0.3,10.9,459.0,0.236
2021-01-02T16:00,27.8,60,19.3,0.2,11.4,299.0,0.236
2021-01-02T17:00,26.2,67,19.5,0.0,8.7,106.0,0.239
2021-01-02T18:00,24.2,76,19.6,0.0,4.7,15.0,0.239
2021-01-02T19:00,23.9,77,19.6,0.0,4.0,0.0,0.239
2021-01-02T20:00,23.3,82,20.1,0.0,4.2,0.0,0.239
2021-01-02T21:00,23.5,79,19.6,0.0,1.5,0.0,0.239
2021-01-02T22:00,22.8,83,19.7,0.0,1.8,0.0,0.238
2021-01-02T23:00,22.3,86,19.8,0.0,0.4,0.0,0.238
2021-01-03T00:00,22.0,87,19.8,0.0,0.5,0.0,0.238
2021-01-03T01:00,21.8,89,19.9,0.0,1.9,0.0,0.238
2021-01-03T02:00,21.5,91,19.9,0.0,0.4,0.0,0.238
2021-01-03T03:00,20.9,94,19.8,0.0,2.2,0.0,0.238
2021-01-03T04:00,21.0,93,19.9,0.0,1.9,0.0,0.237
2021-01-03T05:00,21.1,95,20.3,0.0,3.3,0.0,0.237
2021-01-03T06:00,21.2,95,20.4,0.0,2.6,0.0,0.237
2021-01-03T07:00,22.1,89,20.1,0.1,1.8,30.0,0.237
2021-01-03T08:00,23.5,82,20.2,0.1,3.8,149.0,0.238
2021-01-03T09:00,24.5,77,20.2,0.1,3.2,249.0,0.238
2021-01-03T10:00,25.5,72,20.1,0.1,6.0,253.0,0.238
2021-01-03T11:00,26.2,69,20.0,0.0,5.2,250.0,0.237
2021-01-03T12:00,27.5,63,19.7,0.1,8.2,418.0,0.236
2021-01-03T13:00,27.3,69,21.0,0.3,12.2,439.0,0.238
2021-01-03T14:00,27.0,71,21.3,0.1,13.9,469.0,0.237
2021-01-03T15:00,27.5,67,20.9,0.1,9.4,356.0,0.237
2021-01-03T16:00,27.1,69,20.9,0.1,9.1,272.0,0.237
2021-01-03T17:00,25.6,73,20.4,1.8,13.2,84.0,0.244
2021-01-03T18:00,24.2,82,20.9,0.1,10.9,7.0,0.245
2021-01-03T19:00,23.5,87,21.3,0.0,10.8,0.0,0.244
2021-01-03T20:00,23.3,89,21.4,0.0,10.0,0.0,0.244
2021-01-03T21:00,23.2,90,21.4,0.0,7.3,0.0,0.244
2021-01-03T22:00,22.8,92,21.4,0.0,3.7,0.0,0.244
2021-01-03T23:00,22.9,91,21.3,0.1,4.1,0.0,0.244
2021-01-04T00:00,22.6,92,21.2,0.2,4.3,0.0,0.246
2021-01-04T01:00,22.4,92,21.1,0.2,4.0,0.0,0.247
2021-01-04T02:00,22.1,94,21.0,0.1,4.0,0.0,0.248
2021-01-04T03:00,21.8,96,21.1,0.0,2.9,0.0,0.248
2021-01-04T04:00,21.5,97,20.9,0.0,3.3,0.0,0.248
2021-01-04T05:00,22.0,94,20.9,0.0,2.6,0.0,0.245
2021-01-04T06:00,21.9,96,21.2,0.0,2.2,0.0,0.245
2021-01-04T07:00,22.7,90,20.9,0.0,3.9,34.0,0.245
2021-01-04T08:00,23.8,83,20.7,0.0,6.4,179.0,0.244
2021-01-04T09:00,25.3,72,19.9,0.0,7.6,316.0,0.244
2021-01-04T10:00,26.9,63,19.4,0.0,10.5,472.0,0.242
2021-01-04T11:00,28.3,56,18.6,0.0,12.0,534.0,0.24
2021-01-04T12:00,28.7,53,18.2,0.0,12.0,478.0,0.238
2021-01-04T13:00,29.0,51,17.8,0.0,13.8,493.0,0.236
2021-01-04T14:00,28.8,52,17.9,0.0,11.9,405.0,0.235
2021-01-04T15:00,28.5,55,18.6,0.0,6.8,375.0,0.233
2021-01-04T16:00,27.6,62,19.5,0.0,6.3,255.0,0.232
2021-01-04T17:00,25.7,72,20.2,0.0,2.3,95.0,0.235
2021-01-04T18:00,25.0,75,20.4,0.1,5.9,8.0,0.236
2021-01-04T19:00,24.4,79,20.6,0.1,8.4,0.0,0.236
2021-01-04T20:00,23.9,82,20.6,0.0,8.2,0.0,0.236
2021-01-04T21:00,23.0,87,20.7,0.0,4.8,0.0,0.236
2021-01-04T22:00,22.4,91,20.8,0.0,2.9,0.0,0.236
2021-01-04T23:00,22.0,93,20.8,0.0,3.2,0.0,0.235
2021-01-05T00:00,22.0,92,20.7,0.0,3.8,0.0,0.235
2021-01-05T01:00,21.6,94,20.7,0.0,4.3,0.0,0.235
2021-01-05T02:00,21.5,95,20.6,0.0,3.3,0.0,0.235
2021-01-05T03:00,21.2,96,20.6,0.0,3.6,0.0,0.235
2021-01-05T04:00,21.1,96,20.5,0.0,3.4,0.0,0.235
2021-01-05T05:00,21.8,92,20.5,0.0,0.4,0.0,0.234
2021-01-05T06:00,21.3,95,20.5,0.0,3.0,0.0,0.234
2021-01-05T07:00,22.3,89,20.4,0.0,1.9,35.0,0.233
2021-01-05T08:00,23.9,80,20.2,0.0,1.6,201.0,0.233
2021-01-05T09:00,26.3,67,19.7,0.0,7.1,399.0,0.232
