filename,source_class,mapped_class,ood_status,mahalanobis_distance,ood_threshold,final_prediction,final_confidence,efficientnet_prediction,efficientnet_confidence,mobilenet_prediction,mobilenet_confidence,raw_hybrid_prediction,raw_hybrid_confidence,is_correct_accepted,e2e_correct
Healthy Leaf00002.JPG,Healthy Leaf,Healthy,REJECTED,82.85,63.1,OOD_REJECTED,0.0,Healthy,80.3,Healthy,62.7,Healthy,71.5,,False
Healthy Leaf00007.JPG,Healthy Leaf,Healthy,REJECTED,87.08,63.1,OOD_REJECTED,0.0,Healthy,69.2,Healthy,53.0,Healthy,61.1,,False
Healthy Leaf00007.JPG,Healthy Leaf,Healthy,REJECTED,87.08,63.1,OOD_REJECTED,0.0,Healthy,69.2,Healthy,53.0,Healthy,61.1,,False
Healthy Leaf00008.JPG,Healthy Leaf,Healthy,REJECTED,84.69,63.1,OOD_REJECTED,0.0,Healthy,76.9,Healthy,77.3,Healthy,77.1,,False
Healthy Leaf00009.JPG,Healthy Leaf,Healthy,REJECTED,86.92,63.1,OOD_REJECTED,0.0,Healthy,79.9,Healthy,83.5,Healthy,81.7,,False
Healthy Leaf00012.JPG,Healthy Leaf,Healthy,REJECTED,73.73,63.1,OOD_REJECTED,0.0,Healthy,60.9,Healthy,74.6,Healthy,67.8,,False
Healthy Leaf00012.JPG,Healthy Leaf,Healthy,REJECTED,73.73,63.1,OOD_REJECTED,0.0,Healthy,60.9,Healthy,74.6,Healthy,67.8,,False
Healthy Leaf00015.JPG,Healthy Leaf,Healthy,REJECTED,90.44,63.1,OOD_REJECTED,0.0,Healthy,73.0,Healthy,64.5,Healthy,68.7,,False
Healthy Leaf00017.JPG,Healthy Leaf,Healthy,REJECTED,85.97,63.1,OOD_REJECTED,0.0,Healthy,88.9,Healthy,76.4,Healthy,82.7,,False
Healthy Leaf00018.JPG,Healthy Leaf,Healthy,REJECTED,75.54,63.1,OOD_REJECTED,0.0,Healthy,61.3,Healthy,54.8,Healthy,58.0,,False
Healthy Leaf00019.JPG,Healthy Leaf,Healthy,REJECTED,74.45,63.1,OOD_REJECTED,0.0,Healthy,53.4,Healthy,60.7,Healthy,57.1,,False
Healthy Leaf00021.JPG,Healthy Leaf,Healthy,REJECTED,68.8,63.1,OOD_REJECTED,0.0,Healthy,77.7,Healthy,88.1,Healthy,82.9,,False
Healthy Leaf00023.JPG,Healthy Leaf,Healthy,REJECTED,67.42,63.1,OOD_REJECTED,0.0,Healthy,93.5,Healthy,82.0,Healthy,87.8,,False
Healthy Leaf00024.JPG,Healthy Leaf,Healthy,REJECTED,66.02,63.1,OOD_REJECTED,0.0,Healthy,82.8,Healthy,75.7,Healthy,79.2,,False
Healthy Leaf00025.JPG,Healthy Leaf,Healthy,REJECTED,88.96,63.1,OOD_REJECTED,0.0,Healthy,96.6,Healthy,70.2,Healthy,83.4,,False
Healthy Leaf00026.JPG,Healthy Leaf,Healthy,REJECTED,72.42,63.1,OOD_REJECTED,0.0,Healthy,87.2,Healthy,86.2,Healthy,86.7,,False
Healthy Leaf00027.JPG,Healthy Leaf,Healthy,REJECTED,72.6,63.1,OOD_REJECTED,0.0,Healthy,95.8,Healthy,68.0,Healthy,81.9,,False
Healthy Leaf00029.JPG,Healthy Leaf,Healthy,REJECTED,83.75,63.1,OOD_REJECTED,0.0,Healthy,60.0,Healthy,73.3,Healthy,66.6,,False
Healthy Leaf00032.JPG,Healthy Leaf,Healthy,REJECTED,77.94,63.1,OOD_REJECTED,0.0,Healthy,65.8,Healthy,58.7,Healthy,62.3,,False
Healthy Leaf00036.JPG,Healthy Leaf,Healthy,REJECTED,91.46,63.1,OOD_REJECTED,0.0,Healthy,48.0,Healthy,59.3,Healthy,53.6,,False
Healthy Leaf00040.JPG,Healthy Leaf,Healthy,REJECTED,90.02,63.1,OOD_REJECTED,0.0,Healthy,64.9,Healthy,46.8,Healthy,55.9,,False
Healthy Leaf00041.JPG,Healthy Leaf,Healthy,REJECTED,84.84,63.1,OOD_REJECTED,0.0,Healthy,42.1,Healthy,39.6,Healthy,40.9,,False
Healthy Leaf00042.JPG,Healthy Leaf,Healthy,REJECTED,89.43,63.1,OOD_REJECTED,0.0,Healthy,45.4,Healthy,37.9,Healthy,41.6,,False
Healthy Leaf00044.JPG,Healthy Leaf,Healthy,REJECTED,80.04,63.1,OOD_REJECTED,0.0,Aphids,52.1,Healthy,50.4,Healthy,35.3,,False
Healthy Leaf00050.JPG,Healthy Leaf,Healthy,REJECTED,78.78,63.1,OOD_REJECTED,0.0,Healthy,46.5,Healthy,72.1,Healthy,59.3,,False
Healthy Leaf00051.JPG,Healthy Leaf,Healthy,REJECTED,77.67,63.1,OOD_REJECTED,0.0,Healthy,82.9,Healthy,78.9,Healthy,80.9,,False
Healthy Leaf00054.JPG,Healthy Leaf,Healthy,REJECTED,75.36,63.1,OOD_REJECTED,0.0,Healthy,55.0,Healthy,61.9,Healthy,58.5,,False
Healthy Leaf00055.JPG,Healthy Leaf,Healthy,REJECTED,65.42,63.1,OOD_REJECTED,0.0,Healthy,57.1,Healthy,62.9,Healthy,60.0,,False
Healthy Leaf00056.JPG,Healthy Leaf,Healthy,REJECTED,74.38,63.1,OOD_REJECTED,0.0,Healthy,43.5,Healthy,50.3,Healthy,46.9,,False
Healthy Leaf00056.JPG,Healthy Leaf,Healthy,REJECTED,74.38,63.1,OOD_REJECTED,0.0,Healthy,43.5,Healthy,50.3,Healthy,46.9,,False
Healthy Leaf00057.JPG,Healthy Leaf,Healthy,REJECTED,81.68,63.1,OOD_REJECTED,0.0,Leaf Spot,42.0,Healthy,70.5,Healthy,53.5,,False
Healthy Leaf00058.JPG,Healthy Leaf,Healthy,REJECTED,77.45,63.1,OOD_REJECTED,0.0,Healthy,87.6,Healthy,73.6,Healthy,80.6,,False
Healthy Leaf00059.JPG,Healthy Leaf,Healthy,REJECTED,74.46,63.1,OOD_REJECTED,0.0,Healthy,87.6,Healthy,56.0,Healthy,71.8,,False
Healthy Leaf00059.JPG,Healthy Leaf,Healthy,REJECTED,74.46,63.1,OOD_REJECTED,0.0,Healthy,87.6,Healthy,56.0,Healthy,71.8,,False
Healthy Leaf00060.JPG,Healthy Leaf,Healthy,REJECTED,85.07,63.1,OOD_REJECTED,0.0,Healthy,88.3,Healthy,75.1,Healthy,81.7,,False
Healthy Leaf00063.JPG,Healthy Leaf,Healthy,REJECTED,78.63,63.1,OOD_REJECTED,0.0,Healthy,89.4,Healthy,80.5,Healthy,84.9,,False
Healthy Leaf00068.JPG,Healthy Leaf,Healthy,REJECTED,82.36,63.1,OOD_REJECTED,0.0,Healthy,93.0,Healthy,73.4,Healthy,83.2,,False
Healthy Leaf00069.JPG,Healthy Leaf,Healthy,REJECTED,83.67,63.1,OOD_REJECTED,0.0,Healthy,88.5,Healthy,69.8,Healthy,79.1,,False
Healthy Leaf00069.JPG,Healthy Leaf,Healthy,REJECTED,83.67,63.1,OOD_REJECTED,0.0,Healthy,88.5,Healthy,69.8,Healthy,79.1,,False
Healthy Leaf00070.JPG,Healthy Leaf,Healthy,REJECTED,71.67,63.1,OOD_REJECTED,0.0,Healthy,49.5,Healthy,60.7,Healthy,55.1,,False
Healthy Leaf00071.JPG,Healthy Leaf,Healthy,REJECTED,79.17,63.1,OOD_REJECTED,0.0,Healthy,80.8,Healthy,77.0,Healthy,78.9,,False
Healthy Leaf00072.JPG,Healthy Leaf,Healthy,REJECTED,94.19,63.1,OOD_REJECTED,0.0,Healthy,79.6,Healthy,71.1,Healthy,75.3,,False
Healthy Leaf00075.JPG,Healthy Leaf,Healthy,REJECTED,88.31,63.1,OOD_REJECTED,0.0,Healthy,51.1,Healthy,58.4,Healthy,54.8,,False
Healthy Leaf00076.JPG,Healthy Leaf,Healthy,REJECTED,80.81,63.1,OOD_REJECTED,0.0,Healthy,41.0,Healthy,58.9,Healthy,50.0,,False
Healthy Leaf00081.JPG,Healthy Leaf,Healthy,REJECTED,87.45,63.1,OOD_REJECTED,0.0,Healthy,73.2,Healthy,72.7,Healthy,72.9,,False
Healthy Leaf00084.JPG,Healthy Leaf,Healthy,REJECTED,84.33,63.1,OOD_REJECTED,0.0,Healthy,75.0,Healthy,66.3,Healthy,70.7,,False
Healthy Leaf00087.JPG,Healthy Leaf,Healthy,REJECTED,88.62,63.1,OOD_REJECTED,0.0,Aphids,42.1,Healthy,68.0,Healthy,53.3,,False
Healthy Leaf00088.JPG,Healthy Leaf,Healthy,REJECTED,90.24,63.1,OOD_REJECTED,0.0,Healthy,44.6,Healthy,66.7,Healthy,55.7,,False
Healthy Leaf00089.JPG,Healthy Leaf,Healthy,REJECTED,84.64,63.1,OOD_REJECTED,0.0,Aphids,46.5,Healthy,69.1,Healthy,52.8,,False
Healthy Leaf00091.JPG,Healthy Leaf,Healthy,REJECTED,67.92,63.1,OOD_REJECTED,0.0,Healthy,73.7,Healthy,79.0,Healthy,76.3,,False
Healthy Leaf00092.JPG,Healthy Leaf,Healthy,REJECTED,81.17,63.1,OOD_REJECTED,0.0,Healthy,79.9,Healthy,80.1,Healthy,80.0,,False
Healthy Leaf00093.JPG,Healthy Leaf,Healthy,REJECTED,79.52,63.1,OOD_REJECTED,0.0,Healthy,91.9,Healthy,81.8,Healthy,86.8,,False
Healthy Leaf00094.JPG,Healthy Leaf,Healthy,REJECTED,84.62,63.1,OOD_REJECTED,0.0,Healthy,89.7,Healthy,81.8,Healthy,85.7,,False
Healthy Leaf00095.JPG,Healthy Leaf,Healthy,REJECTED,75.89,63.1,OOD_REJECTED,0.0,Healthy,80.4,Healthy,78.5,Healthy,79.5,,False
Healthy Leaf00097.JPG,Healthy Leaf,Healthy,REJECTED,69.89,63.1,OOD_REJECTED,0.0,Healthy,62.7,Healthy,66.1,Healthy,64.4,,False
Healthy Leaf00098.JPG,Healthy Leaf,Healthy,REJECTED,85.26,63.1,OOD_REJECTED,0.0,Healthy,34.8,Healthy,65.0,Healthy,49.9,,False
