image,source_class,mapped_class,image_type,evaluation_eligibility,exclusion_reason
Healthy Leaf00001.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00001.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00002.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00002.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00003.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00003.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00004.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00004.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00005.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00005.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00006.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00006.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00007.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00007.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00008.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00008.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00009.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00009.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00010.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00010.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00011.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00011.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00012.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
Healthy Leaf00012.JPG,Healthy Leaf,Healthy,whole_plant_field,ELIGIBLE,None
