original_filename,crop_filename,source_class,mapped_class,crop_x1,crop_y1,crop_x2,crop_y2,crop_quality,notes
Healthy Leaf00007.JPG,crop_Healthy Leaf00007.JPG,Healthy Leaf,Healthy,160,205,840,885,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00008.JPG,crop_Healthy Leaf00008.JPG,Healthy Leaf,Healthy,121,185,801,865,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00009.JPG,crop_Healthy Leaf00009.JPG,Healthy Leaf,Healthy,147,115,827,795,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00023.JPG,crop_Healthy Leaf00023.JPG,Healthy Leaf,Healthy,160,165,840,845,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00024.JPG,crop_Healthy Leaf00024.JPG,Healthy Leaf,Healthy,160,123,840,803,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00027.JPG,crop_Healthy Leaf00027.JPG,Healthy Leaf,Healthy,175,194,855,874,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00029.JPG,crop_Healthy Leaf00029.JPG,Healthy Leaf,Healthy,155,186,835,866,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00036.JPG,crop_Healthy Leaf00036.JPG,Healthy Leaf,Healthy,0,160,680,840,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00051.JPG,crop_Healthy Leaf00051.JPG,Healthy Leaf,Healthy,160,239,840,919,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00056.JPG,crop_Healthy Leaf00056.JPG,Healthy Leaf,Healthy,127,160,807,840,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00058.JPG,crop_Healthy Leaf00058.JPG,Healthy Leaf,Healthy,160,172,840,852,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00060.JPG,crop_Healthy Leaf00060.JPG,Healthy Leaf,Healthy,160,117,840,797,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00063.JPG,crop_Healthy Leaf00063.JPG,Healthy Leaf,Healthy,160,160,840,840,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00071.JPG,crop_Healthy Leaf00071.JPG,Healthy Leaf,Healthy,95,190,775,870,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00109.JPG,crop_Healthy Leaf00109.JPG,Healthy Leaf,Healthy,82,160,762,840,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00130.JPG,crop_Healthy Leaf00130.JPG,Healthy Leaf,Healthy,152,168,832,848,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00140.JPG,crop_Healthy Leaf00140.JPG,Healthy Leaf,Healthy,42,160,722,840,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00144.JPG,crop_Healthy Leaf00144.JPG,Healthy Leaf,Healthy,95,160,775,840,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00152.JPG,crop_Healthy Leaf00152.JPG,Healthy Leaf,Healthy,97,160,777,840,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00155.JPG,crop_Healthy Leaf00155.JPG,Healthy Leaf,Healthy,256,160,936,840,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00164.JPG,crop_Healthy Leaf00164.JPG,Healthy Leaf,Healthy,156,193,836,873,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00174.JPG,crop_Healthy Leaf00174.JPG,Healthy Leaf,Healthy,138,160,818,840,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00189.JPG,crop_Healthy Leaf00189.JPG,Healthy Leaf,Healthy,95,160,775,840,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00190.JPG,crop_Healthy Leaf00190.JPG,Healthy Leaf,Healthy,239,160,919,840,high,Targeted single-leaf crop on primary healthy lamina
Healthy Leaf00195.JPG,crop_Healthy Leaf00195.JPG,Healthy Leaf,Healthy,169,170,849,850,high,Targeted single-leaf crop on primary healthy lamina
Leaf Blotch00002.JPG,crop_Leaf Blotch00002.JPG,Leaf Blotch,Blotch,175,120,825,770,high,Targeted single-leaf crop centered on necrotic blotch lesion
