image_index,original_filename,crop_filename,mapped_class,orig_mahalanobis_dist,orig_ood_status,orig_hybrid_pred,orig_hybrid_conf,crop_mahalanobis_dist,crop_ood_status,crop_hybrid_pred,crop_hybrid_conf,crop_eff_pred,crop_eff_conf,crop_mob_pred,crop_mob_conf,crop_final_pred,crop_final_conf,distance_delta,is_accepted_correct,e2e_correct,notes
1,Healthy Leaf00007.JPG,crop_Healthy Leaf00007.JPG,Healthy,87.08,REJECTED,Healthy,61.1,88.09,REJECTED,Healthy,68.4,Healthy,78.0,Healthy,58.7,OOD_REJECTED,0.0,1.01,,False,Delta DM: +1.01 (87.08 -> 88.09)
2,Healthy Leaf00008.JPG,crop_Healthy Leaf00008.JPG,Healthy,84.69,REJECTED,Healthy,77.1,72.41,REJECTED,Healthy,73.5,Healthy,72.2,Healthy,74.8,OOD_REJECTED,0.0,-12.28,,False,Delta DM: -12.28 (84.69 -> 72.41)
3,Healthy Leaf00009.JPG,crop_Healthy Leaf00009.JPG,Healthy,86.92,REJECTED,Healthy,81.7,75.26,REJECTED,Healthy,80.8,Healthy,83.4,Healthy,78.2,OOD_REJECTED,0.0,-11.66,,False,Delta DM: -11.66 (86.92 -> 75.26)
4,Healthy Leaf00023.JPG,crop_Healthy Leaf00023.JPG,Healthy,67.42,REJECTED,Healthy,87.8,69.09,REJECTED,Healthy,74.4,Healthy,69.2,Healthy,79.5,OOD_REJECTED,0.0,1.67,,False,Delta DM: +1.67 (67.42 -> 69.09)
5,Healthy Leaf00024.JPG,crop_Healthy Leaf00024.JPG,Healthy,66.02,REJECTED,Healthy,79.2,73.37,REJECTED,Healthy,75.2,Healthy,79.3,Healthy,71.1,OOD_REJECTED,0.0,7.35,,False,Delta DM: +7.35 (66.02 -> 73.37)
6,Healthy Leaf00027.JPG,crop_Healthy Leaf00027.JPG,Healthy,72.6,REJECTED,Healthy,81.9,84.66,REJECTED,Healthy,84.8,Healthy,98.3,Healthy,71.3,OOD_REJECTED,0.0,12.06,,False,Delta DM: +12.06 (72.6 -> 84.66)
7,Healthy Leaf00029.JPG,crop_Healthy Leaf00029.JPG,Healthy,83.75,REJECTED,Healthy,66.6,82.12,REJECTED,Healthy,70.7,Healthy,74.4,Healthy,67.1,OOD_REJECTED,0.0,-1.63,,False,Delta DM: -1.63 (83.75 -> 82.12)
8,Healthy Leaf00036.JPG,crop_Healthy Leaf00036.JPG,Healthy,91.46,REJECTED,Healthy,53.6,88.48,REJECTED,Healthy,62.5,Healthy,64.4,Healthy,60.7,OOD_REJECTED,0.0,-2.98,,False,Delta DM: -2.98 (91.46 -> 88.48)
9,Healthy Leaf00051.JPG,crop_Healthy Leaf00051.JPG,Healthy,77.67,REJECTED,Healthy,80.9,81.07,REJECTED,Healthy,90.8,Healthy,94.8,Healthy,86.9,OOD_REJECTED,0.0,3.4,,False,Delta DM: +3.40 (77.67 -> 81.07)
10,Healthy Leaf00056.JPG,crop_Healthy Leaf00056.JPG,Healthy,74.38,REJECTED,Healthy,46.9,97.25,REJECTED,Healthy,40.2,Aphids,39.1,Healthy,54.0,OOD_REJECTED,0.0,22.87,,False,Delta DM: +22.87 (74.38 -> 97.25)
