candidate_id,filename,candidate_source,source_category,ground_truth_class,ground_truth_status,used_in_training,training_hash_overlap,previous_experiment,suitability_for_calibration,image_dimensions,file_size_kb,stage1_verifier_score,stage1_status,mahalanobis_distance,ood_threshold,current_ood_status,ungated_diagnosis,ungated_confidence_pct,sha256,md5
CAL-CAND-001,crop_Healthy Leaf00007.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,153.82,0.9998,PASS,88.37,63.1,OOD_REJECTED,Healthy,69.67,39296bfc1810ceed4e4b74ef08e370f7fa769f61307cd6796d992165547f98be,b9d8a876dc62128fa94abe6d103ff29e
CAL-CAND-002,crop_Healthy Leaf00008.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,175.93,0.9999,PASS,72.83,63.1,OOD_REJECTED,Healthy,74.67,94a3e2906b7126d99ec0caa85d947d551de00c79e8f75621d79b39a1be32b4b1,98393bab13245a3b5e995ea95d790ddc
CAL-CAND-003,crop_Healthy Leaf00009.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,161.7,1.0,PASS,75.67,63.1,OOD_REJECTED,Healthy,79.52,54c9ee1fc6e19bc620d4edaa5bcce163b79bda5d317b190d1512086f7eb0ee8c,ed9af36f61598464383d06db1724545f
CAL-CAND-004,crop_Healthy Leaf00023.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,219.12,0.9975,PASS,69.56,63.1,OOD_REJECTED,Healthy,74.65,223af474d7893bc3868e82f77e344f9a753e29a232b2e1d0bee977abb55d3ef5,abd0d5815c4119554d5d778bf0c12ea1
CAL-CAND-005,crop_Healthy Leaf00024.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,194.89,0.9999,PASS,72.88,63.1,OOD_REJECTED,Healthy,74.78,73a72bdf6fd27af0f9c508b6ec454e8d13604fed3703f9b8a54981dc3e89c3dd,23442e6901aa0a3022479ef39af98a59
CAL-CAND-006,crop_Healthy Leaf00027.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,183.15,1.0,PASS,83.99,63.1,OOD_REJECTED,Healthy,84.52,a7ce8a87ae22167d615a25626621f1b6722e25e995bdb3fa29fdae49959e55eb,c504006e7ce474df9260be2f284bbd26
CAL-CAND-007,crop_Healthy Leaf00029.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,175.59,0.9997,PASS,82.94,63.1,OOD_REJECTED,Healthy,71.02,53db08d4c90c79429977076e0df814bf0644b36547c0cbb58f1173871f7f3ca9,538e79345fa1c89e5232d9de93899715
CAL-CAND-008,crop_Healthy Leaf00036.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,137.48,0.9998,PASS,87.92,63.1,OOD_REJECTED,Healthy,62.42,263909488a519be711466ad75048c8e1673c2f2b83655941dedd6f7ded09c529,2e98837e1d96c228f93d1d509611a5dc
CAL-CAND-009,crop_Healthy Leaf00051.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,158.53,0.9999,PASS,80.67,63.1,OOD_REJECTED,Healthy,90.57,82330f555fc5d947fe54c6b9466995a614a66a62d12d9f587317d23508af51b9,2ede0b6237f26e3f8b3d2ebcf2612cf7
CAL-CAND-010,crop_Healthy Leaf00056.JPG,Dataset 02 (Mendeley Single-Leaf Field Crops),Dataset 02 Field Crop,Healthy,expert_verified_crop,False,NONE (0% OVERLAP),Single-Leaf Cropping Study (N=50),SUITABLE_FIELD_CROP,680x680,141.57,0.9984,PASS,97.73,63.1,OOD_REJECTED,Healthy,40.34,118d9168e391dfb671a8afee31917b9fd07d2df2212b7c113d6b689d8781d8c3,e08a0ecd46535c6d32d87cb8025a74f7
