dataset,relative_path,filename,original_class,standardized_class,split,role
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(50).jpg,aphids_disease_(50).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(131).jpg,aphids_disease_(131).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(59).jpg,aphids_disease_(59).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(100).jpg,aphids_disease_(100).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(14).jpg,aphids_disease_(14).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(63).jpg,aphids_disease_(63).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(190).jpg,aphids_disease_(190).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(220).jpg,aphids_disease_(220).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(146).jpg,aphids_disease_(146).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(34).jpg,aphids_disease_(34).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(170).jpg,aphids_disease_(170).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(43).jpg,aphids_disease_(43).jpg,Aphids_Disease,Aphids_Disease,train,model_training
Dataset_01,dataset_01\original\Aphids_Disease\aphids_disease_(198).jpg,aphids_disease_(198).jpg,Aphids_Disease,Aphids_Disease,train,model_training
