image_A,image_B,dataset_A,dataset_B,duplicate_type,similarity_score,hamming_distance,class_A,class_B,sha256_A,sha256_B
aphids_disease_(1).jpg,Dry Leaf00082.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,6aae7da3aa5069b56e9d27279ec15d40e7591f4f26fb288d43668f38d031cda6,0fef36b29f2c7149a46f1781d1a4edbd110d22d5b39a80b27eba7248551a7943
aphids_disease_(10).jpg,Dry Leaf00049.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=7,7,Aphids_Disease,Dry_Leaf,338a7b2dcfcf1784acb5cb6a84a6e6ed30780de10a8c598d70b515a0ad7cf3e1,319d981af9df48246c86314c43f6489c9b8020dccdf45288eeeeef33f9cce8ad
aphids_disease_(101).jpg,Dry Leaf00049.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=8,8,Aphids_Disease,Dry_Leaf,07b1e91326390d0323b30a1be764cb6567606425ffef2f3887d81bef83b5807d,319d981af9df48246c86314c43f6489c9b8020dccdf45288eeeeef33f9cce8ad
aphids_disease_(104).jpg,Dry Leaf00106.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,1602764f78409aff5d59a73ae640dcfb30e1f3898b721ec7a96a518c15078b0b,bf51d86e769f79565126a609d7663982a5939e707036279be63053b07f71726b
aphids_disease_(105).jpg,Dry Leaf00106.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,5b1fcdcb4902a48c4bd17e1f798a7d95c57e3327efcf3d7224eeed21d558eb7f,bf51d86e769f79565126a609d7663982a5939e707036279be63053b07f71726b
aphids_disease_(106).jpg,Dry Leaf00049.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=8,8,Aphids_Disease,Dry_Leaf,86c084f38f2dbc2c0c9a8115a8b36b69ab157d09b927acbbd871f327b02bc86f,319d981af9df48246c86314c43f6489c9b8020dccdf45288eeeeef33f9cce8ad
aphids_disease_(108).jpg,Dry Leaf00146.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,bcc43c7b1451d8a3fe7c6d515206b1ec7e0d38b74b7d82473056c9e6c7d21718,b854f374c9ddd4b3b8e59c133547a6b7367e59a23040ce57c8f1a592c753a0e1
aphids_disease_(108).jpg,Healthy Leaf00158.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Healthy_Leaf,bcc43c7b1451d8a3fe7c6d515206b1ec7e0d38b74b7d82473056c9e6c7d21718,2e19995b74ead7dc4dd1d1fe9ef1b484a754387429155b6e19bf79c20267106f
aphids_disease_(108).jpg,Healthy Leaf00175.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Healthy_Leaf,bcc43c7b1451d8a3fe7c6d515206b1ec7e0d38b74b7d82473056c9e6c7d21718,0ea3bc6bd87326c40792eb1ecb8587f4a8f54fbb9192104c089931bd9445a866
aphids_disease_(108).jpg,Leaf Blotch00073.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Leaf_Blotch,bcc43c7b1451d8a3fe7c6d515206b1ec7e0d38b74b7d82473056c9e6c7d21718,476cc04119db6a916a27e3375ba30654d95ccf9abd1631fd1bccd7ac48c14d1b
aphids_disease_(108).jpg,Leaf Blotch00080.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Leaf_Blotch,bcc43c7b1451d8a3fe7c6d515206b1ec7e0d38b74b7d82473056c9e6c7d21718,ea04f87e0e0ab634f03ca3070bba9fe5aec4d07c7681143140eb739f645a905a
aphids_disease_(11).jpg,Dry Leaf00138.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=8,8,Aphids_Disease,Dry_Leaf,58cd7f3e2c59ecaa42ab9b48b275fd28621138106067128fd7f1fff957384092,48a137a521fcf8c5bf0f80670022143942508551f0f3047e9f590ff294fc2316
aphids_disease_(11).jpg,Dry Leaf00177.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Dry_Leaf,58cd7f3e2c59ecaa42ab9b48b275fd28621138106067128fd7f1fff957384092,4ed045f4c2ba0d71793baa225ce8ad12ef80e540a0890f9be0ca911fcce3ba47
aphids_disease_(109).jpg,Dry Leaf00082.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Dry_Leaf,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,0fef36b29f2c7149a46f1781d1a4edbd110d22d5b39a80b27eba7248551a7943
aphids_disease_(109).jpg,Dry Leaf00140.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,9aec6dc5c705f5fc5882735d7ab6ca4e72464b6ebfc6ece3b78c3eb6a552b67e
aphids_disease_(109).jpg,Dry Leaf00143.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=7,7,Aphids_Disease,Dry_Leaf,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,264aaf55af985e2d563adbfe4338e6d7666deb78327e547e536cc5a3f2933d56
aphids_disease_(109).jpg,Leaf Blotch00004.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=7,7,Aphids_Disease,Leaf_Blotch,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,a96b36433507af73e39df1d2ad9989e773b79c0d27ae1ebfbf5ecc18de823a07
aphids_disease_(109).jpg,Leaf Blotch00005.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=8,8,Aphids_Disease,Leaf_Blotch,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,b5226d7c1649a14108ea4d4cb07f7891e66ce892f3f25536e7c1e20665c8d718
aphids_disease_(109).jpg,Leaf Blotch00010.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Leaf_Blotch,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,3197e2822de599021d133b9768cc32b77177d96d791f65244880d4b84c54b147
aphids_disease_(109).jpg,Rhizome Disease Root00004.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=8,8,Aphids_Disease,Rhizome_Disease_Roots,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,6f6e64319c0d1bab197b171a1f9a7efdec00a918a246926057b9e33d25fb5eee
aphids_disease_(109).jpg,Rhizome Disease Root00114.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=6,6,Aphids_Disease,Rhizome_Disease_Roots,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,3a652734257559efc017044a527d4be6683a935a05e18c03b9115f80560df8be
aphids_disease_(109).jpg,Rhizome Healthy Root00106.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Rhizome_Healthy_Roots,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,792099df3f2fb91a62d25fc739635a820e6c5be3fb678f74f5b5b0d40f2c3209
aphids_disease_(109).jpg,Rhizome Healthy Root00231.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,173ddd1534a3df82138aa24559c71b43a224602176f4c5d40d6408993c002413
aphids_disease_(109).jpg,Rhizome Healthy Root00232.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=8,8,Aphids_Disease,Rhizome_Healthy_Roots,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,bc937e060206b7ac479f3eee51788f6e75bc98567118a529ef1b20784b1f366c
aphids_disease_(109).jpg,Rhizome Healthy Root00258.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,741a6e06ca571fd5eea19c54fbb3ea01caa6353c419ec5110589eb77afea706b
aphids_disease_(109).jpg,Rhizome Healthy Root00302.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Rhizome_Healthy_Roots,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,1b056c0bec593d0fb2c3b1ab4b9d24f80ed054d4ea4c181663cd9794f0288604
aphids_disease_(109).jpg,Rhizome Healthy Root00303.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,dcaa0c99a174011109495d0a0e2d35beac06e3033fd55a914cf3006c8f559d53,67b3e63120ef420e06cb311a4b97a1c1cb953fa026bae3e4e864d26264f1d837
aphids_disease_(114).jpg,Dry Leaf00082.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Dry_Leaf,7b8fb67ebd6ce485af8d5a86967c3d516e07852248472b3b66cac1ba486d5506,0fef36b29f2c7149a46f1781d1a4edbd110d22d5b39a80b27eba7248551a7943
aphids_disease_(114).jpg,Dry Leaf00143.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Dry_Leaf,7b8fb67ebd6ce485af8d5a86967c3d516e07852248472b3b66cac1ba486d5506,264aaf55af985e2d563adbfe4338e6d7666deb78327e547e536cc5a3f2933d56
aphids_disease_(116).jpg,Dry Leaf00049.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Dry_Leaf,e13a9febbc3708bfccd4e8c8fa1f7bfc25bf49e00a6c7d5340a908eea43edf81,319d981af9df48246c86314c43f6489c9b8020dccdf45288eeeeef33f9cce8ad
aphids_disease_(116).jpg,Leaf Blotch00006.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Leaf_Blotch,e13a9febbc3708bfccd4e8c8fa1f7bfc25bf49e00a6c7d5340a908eea43edf81,b0975277450bc6f9f338542e47055ab8a8947999d4a87cd8e2097f23af27f392
aphids_disease_(117).jpg,Dry Leaf00106.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,70cd23ca12a2d83d5f41fd8b04565dc23f2b559538a82c465524f9e9865e15f0,bf51d86e769f79565126a609d7663982a5939e707036279be63053b07f71726b
aphids_disease_(118).jpg,Leaf Blotch00001.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Leaf_Blotch,995aa977589c5b877b908d514f992fcbfa7eec30e5b81dd0d25d5ff9434eda93,f461942049356cd766f3c3d99a694b69dc0861a87e650f004c6e580385152328
aphids_disease_(119).jpg,Dry Leaf00021.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,2973ee28432ddda3d26fbf4cb7b77daca256e6b1c0e3b3e0aeb7d863b392d8ac,80b07af320ce31e8a146fc8c36d40920359a994dbb7ce32c5c787d0e269bb363
aphids_disease_(119).jpg,Dry Leaf00122.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,2973ee28432ddda3d26fbf4cb7b77daca256e6b1c0e3b3e0aeb7d863b392d8ac,f4c98e627b86f34d545dfa70f914b5a3482f9dac29e37e4277a46b7a042753b4
aphids_disease_(119).jpg,Rhizome Healthy Root00102.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,2973ee28432ddda3d26fbf4cb7b77daca256e6b1c0e3b3e0aeb7d863b392d8ac,42ed63fbc1a84d627ef27ec356342cf7d62182b1cfb585f9cbc082ed88702993
aphids_disease_(119).jpg,Rhizome Healthy Root00103.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,2973ee28432ddda3d26fbf4cb7b77daca256e6b1c0e3b3e0aeb7d863b392d8ac,1a182a290d5ec92d08bc0bb7826ce7992966ad9ac025b6731f8d48f1b0071cec
aphids_disease_(119).jpg,Rhizome Healthy Root00104.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Rhizome_Healthy_Roots,2973ee28432ddda3d26fbf4cb7b77daca256e6b1c0e3b3e0aeb7d863b392d8ac,c6e84c358fef466d5d651d6badc72f487938a8971667c64a8b9cd6ba4e2a15f6
aphids_disease_(12).jpg,Dry Leaf00072.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,5b08a62af8347f2c0fb2275d6ef06316d013a994e9dcfe1257b8b0d83de36994,0ae34b2cfac8174028b91944bc4881819bca0ab9e1f5a7d5f41b0389f407edac
aphids_disease_(12).jpg,Dry Leaf00082.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=8,8,Aphids_Disease,Dry_Leaf,5b08a62af8347f2c0fb2275d6ef06316d013a994e9dcfe1257b8b0d83de36994,0fef36b29f2c7149a46f1781d1a4edbd110d22d5b39a80b27eba7248551a7943
aphids_disease_(12).jpg,Dry Leaf00122.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,5b08a62af8347f2c0fb2275d6ef06316d013a994e9dcfe1257b8b0d83de36994,f4c98e627b86f34d545dfa70f914b5a3482f9dac29e37e4277a46b7a042753b4
aphids_disease_(12).jpg,Dry Leaf00143.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,5b08a62af8347f2c0fb2275d6ef06316d013a994e9dcfe1257b8b0d83de36994,264aaf55af985e2d563adbfe4338e6d7666deb78327e547e536cc5a3f2933d56
aphids_disease_(12).jpg,Dry Leaf00179.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,5b08a62af8347f2c0fb2275d6ef06316d013a994e9dcfe1257b8b0d83de36994,200dca98c8c3f3b9d0a8e0c4afbe44b6adeaa8bdbf03385c2c9485f8b0999b0e
aphids_disease_(12).jpg,Rhizome Healthy Root00106.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,5b08a62af8347f2c0fb2275d6ef06316d013a994e9dcfe1257b8b0d83de36994,792099df3f2fb91a62d25fc739635a820e6c5be3fb678f74f5b5b0d40f2c3209
aphids_disease_(124).jpg,Dry Leaf00082.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,57dbbdaad64e8b1597bdd662b1eb52422d9335f18912592bf3d66d040c6c40ba,0fef36b29f2c7149a46f1781d1a4edbd110d22d5b39a80b27eba7248551a7943
aphids_disease_(124).jpg,Dry Leaf00143.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=8,8,Aphids_Disease,Dry_Leaf,57dbbdaad64e8b1597bdd662b1eb52422d9335f18912592bf3d66d040c6c40ba,264aaf55af985e2d563adbfe4338e6d7666deb78327e547e536cc5a3f2933d56
aphids_disease_(124).jpg,Leaf Blotch00004.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Leaf_Blotch,57dbbdaad64e8b1597bdd662b1eb52422d9335f18912592bf3d66d040c6c40ba,a96b36433507af73e39df1d2ad9989e773b79c0d27ae1ebfbf5ecc18de823a07
aphids_disease_(124).jpg,Rhizome Disease Root00114.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Rhizome_Disease_Roots,57dbbdaad64e8b1597bdd662b1eb52422d9335f18912592bf3d66d040c6c40ba,3a652734257559efc017044a527d4be6683a935a05e18c03b9115f80560df8be
aphids_disease_(123).jpg,Leaf Blotch00001.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Leaf_Blotch,7e3e48e5632053dd1e7ed8b6bfa2a78fc1effbde87b701452836a4bdfd914b34,f461942049356cd766f3c3d99a694b69dc0861a87e650f004c6e580385152328
aphids_disease_(129).jpg,Dry Leaf00021.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Dry_Leaf,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,80b07af320ce31e8a146fc8c36d40920359a994dbb7ce32c5c787d0e269bb363
aphids_disease_(129).jpg,Dry Leaf00122.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Dry_Leaf,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,f4c98e627b86f34d545dfa70f914b5a3482f9dac29e37e4277a46b7a042753b4
aphids_disease_(129).jpg,Leaf Blotch00004.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Leaf_Blotch,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,a96b36433507af73e39df1d2ad9989e773b79c0d27ae1ebfbf5ecc18de823a07
aphids_disease_(129).jpg,Leaf Blotch00005.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=8,8,Aphids_Disease,Leaf_Blotch,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,b5226d7c1649a14108ea4d4cb07f7891e66ce892f3f25536e7c1e20665c8d718
aphids_disease_(129).jpg,Leaf Blotch00008.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Leaf_Blotch,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,c8bc1c36431f8bba388e437313476fdb6e489866cef23a0f4993352654de43ea
aphids_disease_(129).jpg,Rhizome Disease Root00004.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Disease_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,6f6e64319c0d1bab197b171a1f9a7efdec00a918a246926057b9e33d25fb5eee
aphids_disease_(129).jpg,Rhizome Disease Root00031.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Disease_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,dedf2d9306dfb93c43063f67c4400508fe0bb5a6138b865bc0149e9e0602865b
aphids_disease_(129).jpg,Rhizome Disease Root00114.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=6,6,Aphids_Disease,Rhizome_Disease_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,3a652734257559efc017044a527d4be6683a935a05e18c03b9115f80560df8be
aphids_disease_(129).jpg,Rhizome Healthy Root00104.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,c6e84c358fef466d5d651d6badc72f487938a8971667c64a8b9cd6ba4e2a15f6
aphids_disease_(129).jpg,Rhizome Healthy Root00105.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,a2fcddb1e0a5ba244dbb5b164d340f19134e3e15c383d7fff18cf654f226249f
aphids_disease_(129).jpg,Rhizome Healthy Root00106.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=7,7,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,792099df3f2fb91a62d25fc739635a820e6c5be3fb678f74f5b5b0d40f2c3209
aphids_disease_(129).jpg,Rhizome Healthy Root00170.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,0bd4445ddc953c49186ebd7e4646ec0ac242195b69554e1f227ba131cf802d63
aphids_disease_(129).jpg,Rhizome Healthy Root00171.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,fcad9f22937f50f0a2d974e0e70b60ac1f80460bbd9d1193f7a7cd7959e310d1
aphids_disease_(129).jpg,Rhizome Healthy Root00172.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,edc68d95029d0702c151bb55825e48a559a18eea52be340a7c48f1729cca08f7
aphids_disease_(129).jpg,Rhizome Healthy Root00173.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,47706a04449487505eb6bf9354a9d3c333c42c724b6c84d4da898ebb31e14afd
aphids_disease_(129).jpg,Rhizome Healthy Root00198.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,dcd362ff05f693cd0d5729594d6880236cf0b71b68820e3fd5f3d65483ccde1a
aphids_disease_(129).jpg,Rhizome Healthy Root00232.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,bc937e060206b7ac479f3eee51788f6e75bc98567118a529ef1b20784b1f366c
aphids_disease_(129).jpg,Rhizome Healthy Root00289.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,03e7edbda1927228f0ff7011ff44e3d3a9b78937dac23f0a7e1a86cf22b4fb6c
aphids_disease_(129).jpg,Rhizome Healthy Root00302.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=9,9,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,1b056c0bec593d0fb2c3b1ab4b9d24f80ed054d4ea4c181663cd9794f0288604
aphids_disease_(129).jpg,Rhizome Healthy Root00303.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Rhizome_Healthy_Roots,a56192b36102dd182966eaad6c64f249bee4171393dc017833264f875fe09f34,67b3e63120ef420e06cb311a4b97a1c1cb953fa026bae3e4e864d26264f1d837
aphids_disease_(13).jpg,Dry Leaf00122.JPG,Dataset_01_jtttfbx342,Dataset_02_g46dvrcvwn,NEAR_DUPLICATE_PHASH,Hamming=10,10,Aphids_Disease,Dry_Leaf,2e490c1b7c71ec3ac6e4e53b337b9608bfe240b35330fdf3831c663e2dad5d17,f4c98e627b86f34d545dfa70f914b5a3482f9dac29e37e4277a46b7a042753b4
