dataset,filename,split,class_label,folder_id,sha256_api,sha256_actual,sha256_match,phash,size_bytes,created_date,download_status,local_path,download_url
Dataset_01_jtttfbx342,aphids_disease_(102).jpg,original,Aphids_Disease,ccc522cc-7cfa-4650-aef7-3bc36c66f6cb,f883de88463acdd4420c088d9c97567a7248a5e64baf27335282743fab87e29d,f883de88463acdd4420c088d9c97567a7248a5e64baf27335282743fab87e29d,YES,ffffc100c3fff0e0,3776811,2024-12-30T20:16:05.981Z,SUCCESS,D:\curuma\turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(102).jpg,https://data.mendeley.com/public-files/datasets/jtttfbx342/files/d7581580-00fa-4966-bf52-7c5dd81a226b/file_downloaded
Dataset_01_jtttfbx342,aphids_disease_(1).jpg,original,Aphids_Disease,ccc522cc-7cfa-4650-aef7-3bc36c66f6cb,6aae7da3aa5069b56e9d27279ec15d40e7591f4f26fb288d43668f38d031cda6,6aae7da3aa5069b56e9d27279ec15d40e7591f4f26fb288d43668f38d031cda6,YES,ffff0700c3fffffc,3664345,2024-12-30T20:15:56.198Z,SUCCESS,D:\curuma\turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(1).jpg,https://data.mendeley.com/public-files/datasets/jtttfbx342/files/c560d08a-bc51-45f4-b837-f724c74b65ba/file_downloaded
Dataset_01_jtttfbx342,aphids_disease_(10).jpg,original,Aphids_Disease,ccc522cc-7cfa-4650-aef7-3bc36c66f6cb,338a7b2dcfcf1784acb5cb6a84a6e6ed30780de10a8c598d70b515a0ad7cf3e1,338a7b2dcfcf1784acb5cb6a84a6e6ed30780de10a8c598d70b515a0ad7cf3e1,YES,ffffffc180e4e0c0,3613968,2024-12-30T20:16:09.18Z,SUCCESS,D:\curuma\turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(10).jpg,https://data.mendeley.com/public-files/datasets/jtttfbx342/files/d80e33d2-2ea4-407c-90cf-8215d89b1516/file_downloaded
Dataset_01_jtttfbx342,aphids_disease_(101).jpg,original,Aphids_Disease,ccc522cc-7cfa-4650-aef7-3bc36c66f6cb,07b1e91326390d0323b30a1be764cb6567606425ffef2f3887d81bef83b5807d,07b1e91326390d0323b30a1be764cb6567606425ffef2f3887d81bef83b5807d,YES,ffffef81c0fce000,3710009,2024-12-30T20:16:07.32Z,SUCCESS,D:\curuma\turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(101).jpg,https://data.mendeley.com/public-files/datasets/jtttfbx342/files/ba8dc3b0-5d03-4885-bbc2-8b543e0b72e4/file_downloaded
Dataset_01_jtttfbx342,aphids_disease_(103).jpg,original,Aphids_Disease,ccc522cc-7cfa-4650-aef7-3bc36c66f6cb,6e54d79829a83e9c06894160c48b5e0511515cc423b0872d232cba83dfcdf152,6e54d79829a83e9c06894160c48b5e0511515cc423b0872d232cba83dfcdf152,YES,ffff8f00c1fd0000,3764843,2024-12-30T20:16:09.888Z,SUCCESS,D:\curuma\turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(103).jpg,https://data.mendeley.com/public-files/datasets/jtttfbx342/files/65cfc3c4-0b44-46d6-ac78-45dc2944660b/file_downloaded
Dataset_01_jtttfbx342,aphids_disease_(100).jpg,original,Aphids_Disease,ccc522cc-7cfa-4650-aef7-3bc36c66f6cb,72113d51fb553795bb8fd46201281a2c8987835a30523e6a4eeb3370af4517be,72113d51fb553795bb8fd46201281a2c8987835a30523e6a4eeb3370af4517be,YES,ffffc381fff7f040,3575363,2024-12-30T20:16:03.266Z,SUCCESS,D:\curuma\turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(100).jpg,https://data.mendeley.com/public-files/datasets/jtttfbx342/files/83c85242-8564-4ff5-8d08-8fba7d706737/file_downloaded
Dataset_01_jtttfbx342,aphids_disease_(104).jpg,original,Aphids_Disease,ccc522cc-7cfa-4650-aef7-3bc36c66f6cb,1602764f78409aff5d59a73ae640dcfb30e1f3898b721ec7a96a518c15078b0b,1602764f78409aff5d59a73ae640dcfb30e1f3898b721ec7a96a518c15078b0b,YES,ffffc781c0fff9f8,3768910,2024-12-30T20:16:10.429Z,SUCCESS,D:\curuma\turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(104).jpg,https://data.mendeley.com/public-files/datasets/jtttfbx342/files/9119fd76-303b-4e10-a9a7-a8a57b85e6e0/file_downloaded
Dataset_01_jtttfbx342,aphids_disease_(107).jpg,original,Aphids_Disease,ccc522cc-7cfa-4650-aef7-3bc36c66f6cb,74a348890e7968a3dd3f5f7223d11f11158523c5337cc96b48898c239bbd60d9,74a348890e7968a3dd3f5f7223d11f11158523c5337cc96b48898c239bbd60d9,YES,fff78381c3fffff0,3994500,2024-12-30T20:16:06.233Z,SUCCESS,D:\curuma\turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(107).jpg,https://data.mendeley.com/public-files/datasets/jtttfbx342/files/449b74f4-95dc-4807-94b2-a9fdf934b6c2/file_downloaded
Dataset_01_jtttfbx342,aphids_disease_(105).jpg,original,Aphids_Disease,ccc522cc-7cfa-4650-aef7-3bc36c66f6cb,5b1fcdcb4902a48c4bd17e1f798a7d95c57e3327efcf3d7224eeed21d558eb7f,5b1fcdcb4902a48c4bd17e1f798a7d95c57e3327efcf3d7224eeed21d558eb7f,YES,ffff8180fffff0e0,3688669,2024-12-30T20:16:08.466Z,SUCCESS,D:\curuma\turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(105).jpg,https://data.mendeley.com/public-files/datasets/jtttfbx342/files/1ad2738a-93bb-4b85-a662-bbf14955765b/file_downloaded
Dataset_01_jtttfbx342,aphids_disease_(106).jpg,original,Aphids_Disease,ccc522cc-7cfa-4650-aef7-3bc36c66f6cb,86c084f38f2dbc2c0c9a8115a8b36b69ab157d09b927acbbd871f327b02bc86f,86c084f38f2dbc2c0c9a8115a8b36b69ab157d09b927acbbd871f327b02bc86f,YES,ffffef80c0ffe400,3708192,2024-12-30T20:16:08.644Z,SUCCESS,D:\curuma\turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(106).jpg,https://data.mendeley.com/public-files/datasets/jtttfbx342/files/fe06e52d-4c2b-48ec-a6de-1483a1f4ec80/file_downloaded
