sample_id,dataset_source,filename,relative_path,label,binary_target,subcategory,split,role,md5_hash,file_size_bytes
DS01_TR_aphids_disease_(50).jpg,Dataset_01_Clean,aphids_disease_(50).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(50).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,56e0deaf02773a6c60916a049009fa85,3749208
DS01_TR_aphids_disease_(131).jpg,Dataset_01_Clean,aphids_disease_(131).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(131).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,d62792410398f3aebc6fc3a9909295da,3981128
DS01_TR_aphids_disease_(59).jpg,Dataset_01_Clean,aphids_disease_(59).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(59).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,d9b48d127f2f7242d78069272321e177,3752392
DS01_TR_aphids_disease_(100).jpg,Dataset_01_Clean,aphids_disease_(100).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(100).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,7238524ed6bf9896887de53070621072,3575363
DS01_TR_aphids_disease_(14).jpg,Dataset_01_Clean,aphids_disease_(14).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(14).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,95a3af481a094c830ac31f9fc1073246,3750471
DS01_TR_aphids_disease_(63).jpg,Dataset_01_Clean,aphids_disease_(63).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(63).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,bc3da601cbf705d2a305173df92066e0,3622356
DS01_TR_aphids_disease_(190).jpg,Dataset_01_Clean,aphids_disease_(190).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(190).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,2c84c92ead1d4d382b8071c496ec3afa,3646720
DS01_TR_aphids_disease_(220).jpg,Dataset_01_Clean,aphids_disease_(220).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(220).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,590c7b21c74bef208ed389ab0044e3ed,3887144
DS01_TR_aphids_disease_(146).jpg,Dataset_01_Clean,aphids_disease_(146).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(146).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,72601ba2efcec7928f96ba534f1b4d25,3757842
DS01_TR_aphids_disease_(34).jpg,Dataset_01_Clean,aphids_disease_(34).jpg,turmeric_datasets\dataset_01\original\Aphids_Disease\aphids_disease_(34).jpg,turmeric_leaf,1,Aphids_Disease,train,positive_train_turmeric_leaf,4251758a2432711b4bcacde951d6b062,4167957
